,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,TSLA211105C00250000,250,USD,532.2,0.0,0.0,1,533.35,538.05,REGULAR,1636070400,1633012384,1.5410179199218752,True,
1,TSLA211105C00390000,390,USD,399.05,0.0,0.0,3,394.15,398.85,REGULAR,1636070400,1633025141,1.176273649902343,True,
2,TSLA211105C00430000,430,USD,362.05,0.0,0.0,6,354.6,359.35,REGULAR,1636070400,1633360587,1.088627603759765,True,
3,TSLA211105C00480000,480,USD,325.9,0.0,0.0,1,305.5,310.35,REGULAR,1636070400,1633633325,0.9916993017578121,True,1.0
4,TSLA211105C00500000,500,USD,288.0,0.0,0.0,8,286.05,290.9,REGULAR,1636070400,1633545437,0.9566654724121091,True,1.0
5,TSLA211105C00510000,510,USD,279.17,0.0,0.0,5,276.4,281.25,REGULAR,1636070400,1632944517,0.9412847668457031,True,
6,TSLA211105C00530000,530,USD,268.5,0.0,0.0,1,257.25,262.05,REGULAR,1636070400,1633632253,0.9118661157226561,True,1.0
7,TSLA211105C00540000,540,USD,247.45,0.0,0.0,2,247.7,252.45,REGULAR,1636070400,1633452716,0.8950205810546871,True,
8,TSLA211105C00560000,560,USD,246.7,0.0,0.0,0,228.85,233.5,REGULAR,1636070400,1633633989,0.8665174481201171,True,1.0
9,TSLA211105C00570000,570,USD,230.7,0.0,0.0,2,219.4,224.05,REGULAR,1636070400,1633354247,0.8494888098144531,True,1.0
10,TSLA211105C00580000,580,USD,214.0,-9.5,-4.2505593,5,210.1,214.55,REGULAR,1636070400,1633709713,0.8326432751464841,True,1.0
11,TSLA211105C00600000,600,USD,165.0,0.0,0.0,1,191.55,196.1,REGULAR,1636070400,1632421786,0.802858416748046,True,
12,TSLA211105C00610000,610,USD,184.17,-12.880005,-6.5364146,4,182.35,186.9,REGULAR,1636070400,1633713592,0.7865621929931641,True,3.0
13,TSLA211105C00620000,620,USD,175.06,-1.9400024,-1.0960466,2,173.25,177.3,REGULAR,1636070400,1633713592,0.7649864810180661,True,3.0
14,TSLA211105C00625000,625,USD,173.18,0.0,0.0,12,168.75,172.75,REGULAR,1636070400,1633028050,0.757326645507812,True,
15,TSLA211105C00630000,630,USD,164.01,0.0,0.0,4,164.25,168.3,REGULAR,1636070400,1633541283,0.7503076727294921,True,2.0
16,TSLA211105C00640000,640,USD,143.5,0.0,0.0,16,155.3,159.3,REGULAR,1636070400,1633099460,0.734194552612304,True,9.0
