,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,TSLA211105P00050000,50,USD,0.02,0.0,0.0,30.0,31,0.0,0.05,REGULAR,1636070400,1633022181,3.06250234375,False
1,TSLA211105P00200000,200,USD,0.08,-0.020000003000000002,-20.000004,2.0,38,0.0,0.1,REGULAR,1636070400,1633721967,1.60547072265625,False
2,TSLA211105P00250000,250,USD,0.26,0.0,0.0,6.0,5,0.0,0.47000000000000003,REGULAR,1636070400,1633549797,1.5605490722656241,False
3,TSLA211105P00300000,300,USD,0.34,-0.120000005,-26.086956,2.0,215,0.16,0.42,REGULAR,1636070400,1633620736,1.353518857421874,False
4,TSLA211105P00310000,310,USD,0.44,0.0,0.0,7.0,453,0.0,0.65,REGULAR,1636070400,1633447155,1.326175244140624,False
5,TSLA211105P00320000,320,USD,0.05,0.0,0.0,,3,0.2,0.7000000000000001,REGULAR,1636070400,1632762796,1.333011147460937,False
6,TSLA211105P00330000,330,USD,0.54,-0.13999999,-20.588232,6.0,1,0.13,0.76,REGULAR,1636070400,1633705455,1.288089497070312,False
7,TSLA211105P00340000,340,USD,0.55,0.0,0.0,4.0,126,0.27,0.84,REGULAR,1636070400,1633631870,1.281253593749999,False
8,TSLA211105P00350000,350,USD,0.64,-0.08000004000000001,-11.111115999999999,143.0,584,0.19,0.75,REGULAR,1636070400,1633720185,1.214847675781249,False
9,TSLA211105P00360000,360,USD,1.11,0.0,0.0,1.0,12,0.30000000000000004,0.99,REGULAR,1636070400,1633448609,1.22266013671875,False
10,TSLA211105P00370000,370,USD,1.4,0.0,0.0,2.0,91,0.37,1.08,REGULAR,1636070400,1633527990,1.201664147949218,False
11,TSLA211105P00380000,380,USD,1.02,-0.08000004000000001,-7.272731,1.0,112,0.44,1.1,REGULAR,1636070400,1633710485,1.171879140625,False
12,TSLA211105P00390000,390,USD,0.87,-0.79999995,-47.90419,9.0,60,0.54,1.24,REGULAR,1636070400,1633722441,1.156010079345703,False
13,TSLA211105P00400000,400,USD,1.05,-0.30000007,-22.222227,27.0,623,1.0,1.1400000000000001,REGULAR,1636070400,1633721999,1.147465200195312,False
14,TSLA211105P00410000,410,USD,1.31,-0.8400001500000001,-39.06977,20.0,164,0.73,1.45,REGULAR,1636070400,1633714892,1.112553265380859,False
15,TSLA211105P00420000,420,USD,1.45,0.00999999,0.69444376,10.0,150,0.85,1.58,REGULAR,1636070400,1633714892,1.092777973632812,False
16,TSLA211105P00430000,430,USD,1.58,-0.9699998999999999,-38.039215,103.0,60,0.99,1.72,REGULAR,1636070400,1633704604,1.073490960693359,False
17,TSLA211105P00440000,440,USD,1.74,-1.25,-41.806023,112.0,36,1.09,1.8900000000000001,REGULAR,1636070400,1633719520,1.052494971923828,False
18,TSLA211105P00450000,450,USD,2.02,-0.22000003,-9.82143,69.0,177,1.2,1.8,REGULAR,1636070400,1633714223,1.017338897705078,False
19,TSLA211105P00460000,460,USD,2.1,-1.1700001,-35.77982,3.0,107,1.42,2.34,REGULAR,1636070400,1633720592,1.018925803833007,False
20,TSLA211105P00470000,470,USD,2.35,-0.75,-24.19355,98.0,61,1.58,2.5700000000000003,REGULAR,1636070400,1633719709,0.9997558618164061,False
21,TSLA211105P00480000,480,USD,2.59,-0.51,-16.451614,9.0,106,1.82,2.83,REGULAR,1636070400,1633719709,0.9836427416992181,False
22,TSLA211105P00490000,490,USD,3.2,-0.14999986,-4.4776077,125.0,35,2.07,3.15,REGULAR,1636070400,1633709062,0.968262036132812,False
23,TSLA211105P00500000,500,USD,2.95,-0.8499998999999999,-22.36842,74.0,374,2.5,3.45,REGULAR,1636070400,1633723120,0.9561771960449211,False
24,TSLA211105P00510000,510,USD,3.73,-0.3699999,-9.024387,32.0,36,2.68,3.8,REGULAR,1636070400,1633714853,0.9361578649902341,False
25,TSLA211105P00520000,520,USD,4.15,-0.3499999,-7.777776,25.0,60,3.0,4.2,REGULAR,1636070400,1633713647,0.9200447448730461,False
26,TSLA211105P00530000,530,USD,4.2,-0.6500001,-13.402064,21.0,77,3.4,4.6,REGULAR,1636070400,1633718243,0.904358866577148,False
27,TSLA211105P00540000,540,USD,4.48,-0.8000001999999999,-15.151519,9.0,146,3.85,5.0,REGULAR,1636070400,1633723060,0.8881236773681641,False
28,TSLA211105P00550000,550,USD,5.0,-0.8000001999999999,-13.793106,77.0,193,4.35,5.55,REGULAR,1636070400,1633720920,0.8743909045410151,False
29,TSLA211105P00560000,560,USD,5.6,-0.8000001999999999,-12.500003,13.0,236,4.85,6.1,REGULAR,1636070400,1633719224,0.858766060791015,False
